Year,Era,Track Name,Artist Name,Release Date,Genres,Track Duration (seconds),Popularity (Rating),Instrumentalness,Acousticness,Danceability,Valence,Energy
1982,1980s,Southern Cross - 2005 Remaster,"Crosby, Stills & Nash",6/21/1982,"album rock, classic rock, country rock, folk, folk rock, mellow gold, rock, soft rock",281,61,2.89E-06,0.48,0.668,0.588,0.447
1982,1980s,Valerie,Steve Winwood,8/2/1982,"album rock, classic rock, folk rock, mellow gold, singer-songwriter, soft rock",246.666,65,0.00668,0.567,0.717,0.731,0.527
1982,1980s,Outstanding,The Gap Band,1/1/1982,"disco, funk, motown, post-disco, quiet storm, soul",198.8,61,1.57E-05,0.223,0.738,0.774,0.498
1982,1980s,You've Got Another Thing Coming,Judas Priest,1982,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock",310.08,64,4.33E-06,0.00572,0.519,0.532,0.833
1982,1980s,Run to the Hills (2015 Remaster),Iron Maiden,3/22/1982,"alternative metal, hard rock, metal, nwobhm, rock",233.506,58,0.00404,0.0286,0.249,0.457,0.943
1982,1980s,Do You Believe In Love,Huey Lewis & The News,1/1/1982,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock",209,60,0,0.0582,0.547,0.817,0.636
1982,1980s,The Girl Is Mine (with Paul McCartney),Michael Jackson,11/30/1982,"r&b, soul",222.333,66,0,0.225,0.681,0.707,0.527
1982,1980s,Always On My Mind,Willie Nelson,2/1/1982,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter",212.666,63,0.00105,0.755,0.524,0.201,0.261
1982,1980s,You Dropped A Bomb On Me,The Gap Band,1/1/1982,"disco, funk, motown, post-disco, quiet storm, soul",312.906,58,0.00186,0.00737,0.786,0.831,0.627
1982,1980s,Don't Change,INXS,10/16/1982,"album rock, australian rock, dance rock, funk rock, new romantic, new wave, new wave pop, rock",266.026,57,0.462,0.000252,0.276,0.164,0.883
1983,1980s,Uptown Girl,Billy Joel,8/8/1983,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",197.706,83,0,0.0755,0.701,0.792,0.944
1983,1980s,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1/4/1983,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop",216.933,85,0,0.225,0.692,0.875,0.711
1983,1980s,Every Breath You Take,The Police,6/17/1983,"album rock, classic rock, permanent wave, rock",253.92,87,0.00294,0.543,0.82,0.74,0.452
1983,1980s,I'm Still Standing,Elton John,5/30/1983,"glam rock, mellow gold, piano rock, rock",183.44,84,0.118,0.355,0.505,0.773,0.904
1983,1980s,Girls Just Want to Have Fun,Cyndi Lauper,10/14/1983,"dance pop, new wave pop, permanent wave, soft rock",238.266,83,0.000602,0.22,0.71,0.725,0.799
1983,1980s,Sharp Dressed Man (2008 Remaster),ZZ Top,3/23/1983,"album rock, blues rock, classic rock, hard rock, rock",258.026,77,0.00124,0.000359,0.601,0.446,0.859
1983,1980s,Time After Time,Cyndi Lauper,10/14/1983,"dance pop, new wave pop, permanent wave, soft rock",241.333,81,1.34E-06,0.487,0.726,0.294,0.449
1983,1980s,Eyes Without A Face,Billy Idol,11/1/1983,"album rock, classic rock, dance rock, hard rock, new romantic, new wave, new wave pop, rock, soft rock",299.24,77,0.00226,0.0177,0.54,0.658,0.816
1983,1980s,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,5/31/1983,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",296.146,74,0.179,0.331,0.942,0.966,0.641
1983,1980s,Blister In The Sun,Violent Femmes,1/1/1983,"acoustic punk, alternative rock, punk",145.706,71,0,0.316,0.726,0.882,0.537
1983,1980s,Rebel Yell,Billy Idol,11/1/1983,"album rock, classic rock, dance rock, hard rock, new romantic, new wave, new wave pop, rock, soft rock",288.533,75,0.00046,0.000753,0.531,0.485,0.864
